# file:line name lines nest params
src/rt/conf.c:406 read_includes 17 2 3
src/rt/conf.c:425 digits_only 9 1 1
src/rt/conf.c:438 join_elements 33 2 3
src/rt/conf.c:473 read_keys 72 2 2
src/rt/conf.c:550 read_file 36 2 2
src/rt/conf.c:589 environment_path 13 0 0
src/rt/conf.c:609 fill_injections 47 3 0
src/rt/conf.c:657 inspect 52 3 0
src/rt/conf.c:710 help 13 1 0
src/rt/conf.c:724 anti_rt_conf_start 20 1 0
src/rt/conf.c:745 anti_rt_conf_configure 7 1 2
src/rt/conf.c:753 anti_rt_conf_get 13 1 2
src/rt/cpu.c:91 row_of 11 2 1
src/rt/cpu.c:103 anti_cpu_level_name 6 0 1
src/rt/cpu.c:110 anti_cpu_level_message 6 0 1
src/rt/cpu.c:119 cpuid_count 16 0 3
src/rt/cpu.c:138 control_register 15 0 0
src/rt/cpu.c:154 has_v2 16 1 0
src/rt/cpu.c:171 has_v3 26 1 0
src/rt/cpu.c:198 machine_level 7 1 0
src/rt/cpu.c:210 machine_level 14 1 0
src/rt/cpu.c:227 feature 10 1 1
src/rt/cpu.c:238 machine_level 12 1 0
src/rt/cpu.c:253 machine_level 14 1 0
src/rt/cpu.c:272 machine_level 4 0 0
src/rt/cpu.c:279 anti_cpu_level 17 3 0
src/rt/cpu.c:297 anti_cpu_missing 9 1 1
src/rt/cpu.c:307 anti_cpu_built 4 0 0
src/rt/cpu.c:312 anti_cpu_check 10 1 0
src/rt/digest.c:33 rotate 4 0 2
src/rt/digest.c:39 compress 39 1 2
src/rt/digest.c:79 anti_rt_sha256_init 6 0 1
src/rt/digest.c:86 anti_rt_sha256_update 21 2 3
src/rt/digest.c:108 anti_rt_sha256_hex 23 1 2
src/rt/digest.c:132 anti_rt_sha256_file 23 1 2
src/rt/errno.c:14 anti_rt_errno 4 0 0
src/rt/errno.c:19 anti_rt_errno_text 15 1 1
src/rt/errno.c:39 anti_rt_last_error 8 0 0
src/rt/errno.c:48 anti_rt_last_error_text 18 1 1
src/rt/f16.c:6 anti_rt_f16_to_f32 4 0 1
src/rt/f16.c:11 anti_rt_f32_to_f16 4 0 1
src/rt/fs.c:45 release 7 0 1
src/rt/fs.c:60 native_path 41 2 3
src/rt/fs.c:105 anti_rt_fs_open 19 1 3
src/rt/fs.c:132 anti_rt_fs_size 27 1 1
src/rt/fs.c:168 add_name 24 2 3
src/rt/fs.c:193 is_dot_entry 5 0 2
src/rt/fs.c:203 finish 28 1 2
src/rt/fs.c:234 anti_rt_fs_list 88 2 3
src/rt/fs.c:324 anti_rt_fs_remove 16 1 2
src/rt/fs.c:342 anti_rt_fs_rename 24 1 4
src/rt/hooks.c:15 anti_rt_trace_install 5 0 1
src/rt/hooks.c:22 handler 5 0 0
src/rt/hooks.c:33 entry_of 13 1 2
src/rt/hooks.c:50 root_body 14 1 1
src/rt/hooks.c:67 own_hook 6 0 2
src/rt/hooks.c:77 handler_hook 4 0 2
src/rt/hooks.c:82 anti_rt_hook 23 1 2
src/rt/hooks.c:106 anti_rt_hook_copied 16 1 2
src/rt/hooks.c:123 anti_rt_hook_call 31 2 4
src/rt/hooks.c:155 anti_rt_hook_failed 21 1 4
src/rt/hooks.c:177 anti_rt_hook_changed 18 1 2
src/rt/init.c:7 anti_rt_init 4 0 0
src/rt/init.c:12 anti_rt_ready 4 0 0
src/rt/io.c:8 anti_rt_write 4 0 3
src/rt/io.c:13 anti_rt_exit 6 0 1
src/rt/json.c:12 anti_rt_json_space 7 1 1
src/rt/json.c:20 anti_rt_json_take 9 1 2
src/rt/json.c:30 anti_rt_json_word 11 1 2
src/rt/json.c:42 hex_digit 13 1 1
src/rt/json.c:58 put_byte 12 2 4
src/rt/json.c:73 anti_rt_json_string 70 5 4
src/rt/json.c:144 anti_rt_json_number 14 1 3
src/rt/json.c:160 digits 9 1 3
src/rt/json.c:170 anti_rt_json_valid_number 32 2 2
src/rt/json.c:203 anti_rt_json_integer 33 2 3
src/rt/json.c:237 anti_rt_json_skip 47 3 2
src/rt/license.c:13 anti_rt_license_text 18 1 0
src/rt/license.c:35 anti_rt_runtime_version 12 0 0
src/rt/license_stub.c:7 anti_rt_license_text 8 0 0
src/rt/license_stub.c:18 anti_rt_runtime_version 8 0 0
src/rt/loaded.c:31 anti_rt_plugin_at 4 0 1
src/rt/loaded.c:36 anti_rt_plugin_opened 4 0 0
src/rt/loaded.c:41 anti_rt_plugin_closed 4 0 0
src/rt/loaded.c:46 anti_rt_plugin_registry 8 1 1
src/rt/loaded.c:59 anti_rt_plugin_image 18 1 1
src/rt/loaded.c:80 owner 17 2 1
src/rt/loaded.c:98 anti_rt_plugin_created 8 1 1
src/rt/loaded.c:107 anti_rt_plugin_destroyed 8 1 1
src/rt/mem.c:24 anti_rt_mem_alloc 24 1 2
src/rt/mem.c:49 anti_rt_mem_free 8 0 1
src/rt/object.c:31 anti_rt_descriptor 6 0 1
src/rt/object.c:42 anti_rt_object_of 6 0 1
src/rt/object.c:51 checked_object 12 2 2
src/rt/object.c:64 anti_lang_Object_type_name 9 0 1
src/rt/object.c:74 anti_lang_Object_to_text 4 0 1
src/rt/object.c:79 anti_rt_type_scalar 5 0 1
src/rt/object.c:87 anti_rt_type_size 26 1 1
src/rt/object.c:114 anti_rt_type_signed 11 1 1
src/rt/object.c:126 anti_rt_load_integer 27 2 2
src/rt/object.c:154 anti_rt_store_integer 23 2 3
src/rt/object.c:180 compared_size 7 0 1
src/rt/object.c:190 anti_lang_Object_equals 28 3 2
src/rt/object.c:221 anti_lang_Object_hash 20 3 1
src/rt/object.c:243 put 5 0 2
src/rt/object.c:254 put_integer 15 1 3
src/rt/object.c:270 put_signed 5 0 2
src/rt/object.c:279 put_text 29 2 3
src/rt/object.c:309 anti_rt_element_size 9 1 2
src/rt/object.c:319 anti_rt_element_walked 7 0 2
src/rt/object.c:334 put_struct 16 1 3
src/rt/object.c:353 put_slice 28 1 5
src/rt/object.c:385 put_value 84 3 5
src/rt/object.c:472 serialize_into 31 2 3
src/rt/object.c:513 anti_lang_Object_serialize 4 0 2
src/rt/object.c:520 anti_lang_Object_destruct 4 0 1
src/rt/object.c:529 anti_lang_Object_created 4 0 1
src/rt/object.c:534 anti_lang_Object_destroyed 4 0 1
src/rt/object.c:539 anti_lang_Object_copied 6 0 2
src/rt/object.c:546 anti_lang_Object_dispatched 4 0 1
src/rt/object.c:551 anti_lang_Object_joined 4 0 1
src/rt/object.c:556 anti_lang_Object_enter 5 0 2
src/rt/object.c:562 anti_lang_Object_leave 5 0 2
src/rt/object.c:568 anti_lang_Object_failed 7 0 3
src/rt/object.c:576 anti_lang_Object_changed 6 0 2
src/rt/object.c:585 table_entry 6 0 2
src/rt/object.c:594 anti_lang_Object_copy 8 1 2
src/rt/object.c:608 anti_rt_dup 19 1 2
src/rt/object.c:630 anti_rt_give 15 1 2
src/rt/object.c:646 anti_rt_destroy_from 12 1 3
src/rt/object.c:659 anti_rt_delete_from 11 1 3
src/rt/object.c:671 anti_rt_destroy 4 0 2
src/rt/object.c:676 anti_rt_delete 4 0 2
src/rt/object.c:683 anti_rt_destroy_elements 10 1 4
src/rt/object.c:694 anti_rt_copy_elements 17 2 4
src/rt/object.c:712 anti_rt_copy_buffer 13 1 2
src/rt/platform.c:10 anti_rt_is_windows 8 0 0
src/rt/plugin.c:32 fail 8 0 2
src/rt/plugin.c:41 anti_rt_plugin_message 8 0 0
src/rt/plugin.c:52 open_library 8 0 1
src/rt/plugin.c:61 close_library 8 0 1
src/rt/plugin.c:70 symbol_of 13 1 2
src/rt/plugin.c:85 open_message 11 0 0
src/rt/plugin.c:97 same_bytes 6 0 4
src/rt/plugin.c:105 path_of 10 1 4
src/rt/plugin.c:116 slot_of 13 2 1
src/rt/plugin.c:132 entry_of 17 2 4
src/rt/plugin.c:155 version_part 19 1 2
src/rt/plugin.c:176 version_below 17 2 4
src/rt/plugin.c:194 anti_rt_plugin_slots 11 2 1
src/rt/plugin.c:207 function_at 15 2 4
src/rt/plugin.c:228 checked 45 2 2
src/rt/plugin.c:287 stub 20 1 1
src/rt/plugin.c:310 needs_stubs 5 0 1
src/rt/plugin.c:319 stubs_of 26 2 1
src/rt/plugin.c:347 free_stubs 12 2 2
src/rt/plugin.c:363 build 35 3 2
src/rt/plugin.c:399 anti_rt_plugin_load 101 2 2
src/rt/plugin.c:501 anti_rt_plugin_instance 17 1 2
src/rt/plugin.c:519 anti_rt_plugin_supports 18 2 4
src/rt/plugin.c:538 anti_rt_plugin_live 7 0 1
src/rt/plugin.c:546 anti_rt_plugin_unload 22 1 1
src/rt/plugin.c:572 joined 8 0 5
src/rt/plugin.c:581 index_bytes 30 1 2
src/rt/plugin.c:613 index_field 17 1 3
src/rt/plugin.c:632 index_lists 19 2 4
src/rt/plugin.c:655 discover_in 71 2 6
src/rt/plugin.c:729 discover 16 2 5
src/rt/plugin.c:746 anti_rt_plugin_provider 37 3 5
src/rt/reflect.c:14 anti_rt_reflect_class_name 8 0 1
src/rt/reflect.c:23 anti_rt_reflect_parent 5 0 1
src/rt/reflect.c:29 anti_rt_reflect_field_count 4 0 1
src/rt/reflect.c:35 field_at 9 1 2
src/rt/reflect.c:45 anti_rt_reflect_field_name 10 0 2
src/rt/reflect.c:56 anti_rt_reflect_field_offset 7 0 2
src/rt/reflect.c:64 anti_rt_reflect_field_type 7 0 2
src/rt/reflect.c:72 anti_rt_reflect_field_owned 7 0 2
src/rt/reflect.c:80 anti_rt_reflect_function_count 4 0 1
src/rt/reflect.c:85 function_at 9 1 2
src/rt/reflect.c:95 anti_rt_reflect_function_name 10 0 2
src/rt/reflect.c:106 anti_rt_reflect_function_slot 7 0 2
src/rt/reflect.c:114 anti_rt_reflect_function_params 7 0 2
src/rt/reflect.c:123 value_kind 27 1 1
src/rt/reflect.c:154 anti_rt_reflect_get 45 2 4
src/rt/reflect.c:200 anti_rt_reflect_set 49 2 4
src/rt/registry.c:14 same_bytes 6 0 4
src/rt/registry.c:23 find_in 28 3 5
src/rt/registry.c:56 anti_rt_registry_find 36 2 2
src/rt/registry.c:94 build 9 1 1
src/rt/registry.c:104 anti_rt_reflect_new 12 1 2
src/rt/registry.c:157 lend 28 2 3
src/rt/registry.c:188 room_for_object 14 2 1
src/rt/registry.c:204 owned_by 11 2 3
src/rt/registry.c:222 give_back 21 2 1
src/rt/registry.c:246 skip_space 4 0 1
src/rt/registry.c:251 take 4 0 2
src/rt/registry.c:256 take_word 4 0 2
src/rt/registry.c:261 read_string 5 0 4
src/rt/registry.c:267 number_span 5 0 3
src/rt/registry.c:274 read_number 12 1 3
src/rt/registry.c:287 skip_value 4 0 2
src/rt/registry.c:294 type_of 21 2 3
src/rt/registry.c:317 field_named 16 3 3
src/rt/registry.c:335 descends 7 0 2
src/rt/registry.c:353 read_integer 30 2 3
src/rt/registry.c:388 read_text 17 1 2
src/rt/registry.c:407 read_char 17 1 2
src/rt/registry.c:426 read_view 33 2 2
src/rt/registry.c:461 read_elements 50 3 5
src/rt/registry.c:514 read_owned 21 2 5
src/rt/registry.c:540 read_value 120 4 6
src/rt/registry.c:664 fill 28 2 5
src/rt/registry.c:701 read_object 29 1 3
src/rt/registry.c:731 anti_lang_Object_deserialize 24 1 2
src/rt/signal.c:46 on_raise 7 0 1
src/rt/signal.c:54 reader 19 2 1
src/rt/signal.c:74 start_reader 17 1 0
src/rt/signal.c:94 on_console 12 1 1
src/rt/signal.c:111 on_raise 10 1 1
src/rt/signal.c:123 anti_rt_on_signal 19 1 2
src/rt/signal.c:143 anti_rt_signal_pending 4 0 0
src/rt/start.c:60 runtime_options 24 2 1
src/rt/start.c:85 allocate 10 1 1
src/rt/start.c:97 make_str 9 0 2
src/rt/start.c:109 from_utf16 10 1 1
src/rt/start.c:120 copy_units 10 1 2
src/rt/start.c:131 arguments 24 2 0
src/rt/start.c:156 environment 24 1 0
src/rt/start.c:181 main 17 0 0
src/rt/start.c:202 strings 15 1 2
src/rt/start.c:218 main 14 1 2
src/rt/symbols.c:7 anti_coff_demangle 35 3 4
src/rt/symbols.c:52 inside 4 0 3
src/rt/symbols.c:57 get 10 1 2
src/rt/symbols.c:75 take 12 1 2
src/rt/symbols.c:88 uleb 17 2 1
src/rt/symbols.c:106 sleb 21 2 1
src/rt/symbols.c:129 string_at 14 1 1
src/rt/symbols.c:145 string_in 9 1 3
src/rt/symbols.c:176 read_form 49 3 6
src/rt/symbols.c:229 file_name 51 4 5
src/rt/symbols.c:290 unit_line 163 4 4
src/rt/symbols.c:455 dwarf_line 18 2 3
src/rt/symbols.c:491 elf_header 14 1 4
src/rt/symbols.c:506 elf_section_at 13 0 4
src/rt/symbols.c:521 elf_find 28 3 4
src/rt/symbols.c:556 elf_symbols 32 2 3
src/rt/symbols.c:599 better 8 1 3
src/rt/symbols.c:608 elf_nearest 20 1 6
src/rt/symbols.c:635 elf_each_function 11 1 6
src/rt/symbols.c:647 anti_elf_functions 10 0 4
src/rt/symbols.c:658 anti_elf_function 14 1 4
src/rt/symbols.c:679 elf_named 14 1 6
src/rt/symbols.c:694 anti_elf_symbol 12 1 4
src/rt/symbols.c:707 anti_elf_line 23 1 4
src/rt/symbols.c:745 macho_commands 34 2 3
src/rt/symbols.c:793 macho_layout_visit 19 1 4
src/rt/symbols.c:813 anti_macho_table 28 2 5
src/rt/symbols.c:843 macho_symbol 10 0 5
src/rt/symbols.c:855 unprefixed 4 0 1
src/rt/symbols.c:860 anti_macho_functions 22 2 3
src/rt/symbols.c:883 anti_macho_function 28 2 3
src/rt/symbols.c:912 anti_macho_symbol 19 2 3
src/rt/symbols.c:937 anti_macho_debug_map 34 3 5
src/rt/symbols.c:986 macho_sections_visit 33 2 4
src/rt/symbols.c:1020 macho_object_sections 12 0 3
src/rt/symbols.c:1038 anti_macho_relocate 38 2 2
src/rt/symbols.c:1077 anti_macho_object_line 34 2 5
src/rt/sync.c:37 lock_init 5 0 1
src/rt/sync.c:42 lock_end 1 0 1
src/rt/sync.c:43 hold 1 0 1
src/rt/sync.c:44 release 1 0 1
src/rt/sync.c:45 cond_init 5 0 1
src/rt/sync.c:50 cond_end 1 0 1
src/rt/sync.c:51 wait_on 4 0 2
src/rt/sync.c:55 wake_one 1 0 1
src/rt/sync.c:56 wake_all 1 0 1
src/rt/sync.c:65 lock_init 1 0 1
src/rt/sync.c:66 lock_end 1 0 1
src/rt/sync.c:67 hold 1 0 1
src/rt/sync.c:68 release 1 0 1
src/rt/sync.c:69 cond_init 1 0 1
src/rt/sync.c:70 cond_end 1 0 1
src/rt/sync.c:71 wait_on 1 0 2
src/rt/sync.c:72 wake_one 1 0 1
src/rt/sync.c:73 wake_all 1 0 1
src/rt/sync.c:79 fatal 6 0 1
src/rt/sync.c:88 anti_rt_mutex_new 9 1 0
src/rt/sync.c:100 anti_rt_mutex_destroy 8 1 1
src/rt/sync.c:111 anti_rt_mutex_lock 7 1 1
src/rt/sync.c:119 anti_rt_mutex_unlock 4 0 1
src/rt/sync.c:157 wake_selects 8 1 0
src/rt/sync.c:166 channel_of 7 1 2
src/rt/sync.c:174 anti_rt_chan_new 31 1 2
src/rt/sync.c:208 take 7 0 2
src/rt/sync.c:219 anti_rt_chan_send 21 1 2
src/rt/sync.c:243 anti_rt_chan_recv 17 1 2
src/rt/sync.c:262 anti_rt_chan_close 12 0 1
src/rt/sync.c:275 anti_rt_chan_delete 12 1 1
src/rt/sync.c:291 try_arm 19 1 4
src/rt/sync.c:312 any_ready 13 1 2
src/rt/sync.c:329 anti_rt_select 22 3 4
src/rt/text.c:9 anti_rt_text_from_c 8 0 1
src/rt/text.c:18 anti_rt_text_slice 8 0 2
src/rt/text.c:29 reserve 24 1 2
src/rt/text.c:59 anti_rt_builder_append 10 1 3
src/rt/text.c:70 anti_rt_builder_fill 11 1 4
src/rt/text.c:85 anti_rt_builder_take 21 2 1
src/rt/text.c:146 parts_of 30 1 2
src/rt/text.c:177 big_multiply 15 1 2
src/rt/text.c:195 exact 57 2 3
src/rt/text.c:256 round_to 39 2 2
src/rt/text.c:297 compare 17 2 2
src/rt/text.c:319 shortest 30 2 2
src/rt/text.c:357 flush 5 0 1
src/rt/text.c:363 put 7 1 2
src/rt/text.c:372 digit_at 4 0 2
src/rt/text.c:379 put_power 15 1 2
src/rt/text.c:396 put_fixed 19 2 3
src/rt/text.c:417 put_scientific 14 2 3
src/rt/text.c:436 put_shortest 12 1 3
src/rt/text.c:449 anti_rt_builder_float 46 2 5
src/rt/text.c:496 anti_rt_builder_text 8 0 1
src/rt/text.c:505 anti_rt_builder_clear 7 1 1
src/rt/text.c:530 trim 6 1 1
src/rt/text.c:539 double_by 30 2 3
src/rt/text.c:572 halve_by 31 2 3
src/rt/text.c:607 rounded_whole 19 1 2
src/rt/text.c:627 anti_rt_read_float 134 3 5
src/rt/threads.c:64 hold 1 0 0
src/rt/threads.c:65 release 1 0 0
src/rt/threads.c:66 wait_ready 4 0 0
src/rt/threads.c:70 wait_done 4 0 0
src/rt/threads.c:74 wake_all 1 0 0
src/rt/threads.c:75 wake_caller 1 0 0
src/rt/threads.c:77 processors 4 0 0
src/rt/threads.c:89 hold 1 0 0
src/rt/threads.c:90 release 1 0 0
src/rt/threads.c:91 wait_ready 1 0 0
src/rt/threads.c:92 wait_done 1 0 0
src/rt/threads.c:93 wake_all 1 0 0
src/rt/threads.c:94 wake_caller 1 0 0
src/rt/threads.c:96 processors 6 0 0
src/rt/threads.c:116 worker_count 12 1 0
src/rt/threads.c:132 slice_of 9 0 4
src/rt/threads.c:142 run_chunk 9 0 2
src/rt/threads.c:159 finish_one 12 1 1
src/rt/threads.c:173 worker_main 51 3 1
src/rt/threads.c:225 start_pool 26 2 0
src/rt/threads.c:253 start_once 8 0 3
src/rt/threads.c:263 start 8 0 0
src/rt/threads.c:276 anti_rt_parallel 69 2 9
src/rt/threads.c:350 anti_rt_dispatch 41 2 4
src/rt/threads.c:394 anti_rt_join 44 4 3
src/rt/threads.c:440 anti_rt_join_all 8 1 2
src/rt/threads.c:454 anti_rt_join_hooked 10 1 3
src/rt/threads.c:465 anti_rt_join_all_hooked 8 1 2
src/rt/time.c:22 anti_rt_monotonic 16 0 0
src/rt/time.c:39 anti_rt_wall 17 0 0
src/rt/time.c:57 anti_rt_sleep 18 1 1
src/rt/toml.c:38 at_end 4 0 1
src/rt/toml.c:43 peek 4 0 1
src/rt/toml.c:48 skip_spaces 6 1 1
src/rt/toml.c:56 skip_blank 18 3 1
src/rt/toml.c:75 is_bare 5 0 1
src/rt/toml.c:81 keep 11 1 2
src/rt/toml.c:93 add 27 2 6
src/rt/toml.c:122 repeats 17 3 3
src/rt/toml.c:140 read_header 41 2 2
src/rt/toml.c:183 read_quoted 18 1 3
src/rt/toml.c:204 read_key 18 1 3
src/rt/toml.c:225 stops_value 4 0 2
src/rt/toml.c:232 read_value 26 1 4
src/rt/toml.c:266 read_inline_table 59 3 3
src/rt/toml.c:330 read_array 46 3 3
src/rt/toml.c:377 read_pair 42 1 2
src/rt/toml.c:420 anti_rt_toml_read 28 2 2
src/rt/toml.c:449 anti_rt_toml_count 4 0 1
src/rt/toml.c:454 text_of 8 0 2
src/rt/toml.c:463 anti_rt_toml_key 7 1 2
src/rt/toml.c:471 anti_rt_toml_value 7 1 2
src/rt/toml.c:479 anti_rt_toml_find 16 2 3
src/rt/toml.c:496 anti_rt_toml_line 7 1 2
src/rt/toml.c:504 anti_rt_toml_free 14 1 1
src/rt/trace.c:40 text_of 8 0 1
src/rt/trace.c:49 text_part 8 0 2
src/rt/trace.c:73 notice_id 13 1 1
src/rt/trace.c:106 load 51 4 2
src/rt/trace.c:159 stack_bounds 22 2 2
src/rt/trace.c:188 anti_rt_trace_walk 33 2 3
src/rt/trace.c:226 image_slide 21 2 1
src/rt/trace.c:263 image_id 32 2 1
src/rt/trace.c:296 anti_rt_trace_frame 16 1 2
src/rt/trace.c:313 anti_rt_trace_symbolize 40 2 2
src/rt/trace.c:358 read_program_path 7 0 0
src/rt/trace.c:376 visit_module 21 2 3
src/rt/trace.c:402 module_at 11 1 2
src/rt/trace.c:417 module_id 17 1 1
src/rt/trace.c:435 anti_rt_trace_frame 15 1 2
src/rt/trace.c:451 anti_rt_trace_symbolize 35 1 2
src/rt/trace.c:498 anti_rt_trace_walk 52 2 3
src/rt/trace.c:562 keep 23 2 2
src/rt/trace.c:586 anti_rt_trace_frame 42 2 2
src/rt/trace.c:652 open_help 30 1 0
src/rt/trace.c:685 search_module 47 2 1
src/rt/trace.c:733 anti_rt_trace_symbolize 51 1 2
src/rt/trace.c:794 add 20 2 3
src/rt/trace.c:817 module_number 25 2 2
src/rt/trace.c:848 anti_rt_trace_text 49 2 2
src/rt/utf.c:3 put_scalar 23 1 2
src/rt/utf.c:29 sequence_length 23 1 3
src/rt/utf.c:56 anti_utf8_repair 27 3 3
src/rt/utf.c:84 anti_utf8_encode 4 0 2
src/rt/utf.c:89 anti_utf8_decode 22 2 3
src/rt/utf.c:114 anti_utf16_to_utf8 18 2 3
src/rt/utf.c:133 is_blank 4 0 1
src/rt/utf.c:142 anti_split_command_line 57 5 2
src/rt/f16.h:17 anti_f16_widen 23 1 1
src/rt/f16.h:42 anti_f16_narrow 45 2 1
src/antic/antl.c:41 put_u8 4 0 2
src/antic/antl.c:46 put_u32 10 1 2
src/antic/antl.c:57 put_u64 10 1 2
src/antic/antl.c:68 put_bytes 5 0 3
src/antic/antl.c:74 put_str 4 0 2
src/antic/antl.c:80 put_doc 4 0 3
src/antic/antl.c:85 float_bits 7 0 1
src/antic/antl.c:98 is_local_struct 12 1 2
src/antic/antl.c:120 carried_member 7 0 1
src/antic/antl.c:128 public_members 12 2 1
src/antic/antl.c:142 is_public_struct 12 2 2
src/antic/antl.c:155 find_type 11 2 2
src/antic/antl.c:167 add_type 15 2 2
src/antic/antl.c:189 visit_symbolic 12 1 2
src/antic/antl.c:202 visit_value 12 2 2
src/antic/antl.c:216 visit_defaults 10 2 2
src/antic/antl.c:227 visit_type 64 4 2
src/antic/antl.c:292 put_type_ref 4 0 2
src/antic/antl.c:297 put_symbolic 23 1 2
src/antic/antl.c:321 put_type 151 4 2
src/antic/antl.c:473 put_value 35 2 2
src/antic/antl.c:513 put_param_defaults 13 2 2
src/antic/antl.c:529 put_param_owned 9 1 2
src/antic/antl.c:543 put_defaults 22 2 2
src/antic/antl.c:566 put_vtype 5 0 2
src/antic/antl.c:574 put_const 32 2 2
src/antic/antl.c:607 put_operand 25 1 2
src/antic/antl.c:633 put_inst 18 1 2
src/antic/antl.c:652 put_ir 147 3 2
src/antic/antl.c:802 put_header 33 1 2
src/antic/antl.c:836 antl_write_header 9 0 2
src/antic/antl.c:846 antl_write 57 3 4
src/antic/antl.c:928 fail 12 1 3
src/antic/antl.c:941 damaged 4 0 1
src/antic/antl.c:946 take 11 2 2
src/antic/antl.c:958 get_uint 14 1 2
src/antic/antl.c:973 get_u8 4 0 1
src/antic/antl.c:978 get_u32 4 0 1
src/antic/antl.c:983 get_u64 4 0 1
src/antic/antl.c:991 get_count 10 1 2
src/antic/antl.c:1002 allocate 4 0 3
src/antic/antl.c:1008 get_name 16 1 1
src/antic/antl.c:1025 get_cstr 4 0 1
src/antic/antl.c:1030 name_equals 4 0 2
src/antic/antl.c:1035 library 12 2 2
src/antic/antl.c:1048 read_magic 16 1 1
src/antic/antl.c:1065 read_header 43 1 2
src/antic/antl.c:1109 antl_header 14 0 6
src/antic/antl.c:1124 type_ref 10 1 2
src/antic/antl.c:1135 name_equals_name 5 0 2
src/antic/antl.c:1142 names_root 10 0 2
src/antic/antl.c:1153 names_flags 7 0 2
src/antic/antl.c:1161 names_field_descriptor 9 0 2
src/antic/antl.c:1173 names_lang 10 0 3
src/antic/antl.c:1186 foreign_struct 33 2 3
src/antic/antl.c:1220 symbolic_op_ok 12 1 2
src/antic/antl.c:1235 read_symbolic 40 2 3
src/antic/antl.c:1292 read_param_defaults 36 3 2
src/antic/antl.c:1330 read_param_owned 26 2 2
src/antic/antl.c:1357 read_types 344 6 1
src/antic/antl.c:1704 read_value 64 3 4
src/antic/antl.c:1769 read_items 75 4 1
src/antic/antl.c:1847 valid_type 4 0 1
src/antic/antl.c:1878 map_agg 41 2 4
src/antic/antl.c:1920 map_sym 50 2 4
src/antic/antl.c:1971 read_vtype 13 1 2
src/antic/antl.c:1987 agg_ready 16 2 2
src/antic/antl.c:2006 sym_ready 16 1 2
src/antic/antl.c:2025 read_tables 100 3 3
src/antic/antl.c:2126 read_agg_ref 11 1 4
src/antic/antl.c:2141 read_const 70 3 4
src/antic/antl.c:2216 remap_const 23 2 4
src/antic/antl.c:2240 read_operand 66 2 3
src/antic/antl.c:2307 read_body 78 3 4
src/antic/antl.c:2388 read_signature 84 3 4
src/antic/antl.c:2475 map_global 12 1 4
src/antic/antl.c:2490 read_classes 86 3 3
src/antic/antl.c:2584 read_ir 107 3 2
src/antic/antl.c:2692 antl_read 42 2 9
src/antic/applesdk.c:9 apple_clt_sdk 38 2 2
src/antic/arena.c:19 align_up 5 0 1
src/antic/arena.c:25 arena_alloc 24 2 2
src/antic/arena.c:50 arena_free 11 1 1
src/antic/arith.c:4 extend 13 1 3
src/antic/arith.c:21 multiply 14 0 4
src/antic/arith.c:41 arith_mul_high 19 1 4
src/antic/arith.c:62 largest 6 0 2
src/antic/arith.c:69 smallest 4 0 2
src/antic/arith.c:78 direction 46 2 5
src/antic/arith.c:125 arith_saturate 14 1 5
src/antic/arm64.c:204 abi 8 1 1
src/antic/arm64.c:215 width 4 0 1
src/antic/arm64.c:220 bits 10 1 1
src/antic/arm64.c:231 signed_value 7 0 2
src/antic/arm64.c:240 extension 7 1 2
src/antic/arm64.c:248 emit2 8 0 4
src/antic/arm64.c:257 emit3 9 0 5
